Transaction Amount,Transaction Time,Transaction Type,Merchant Category,Merchant Location,Average Transaction Amount,Transaction Frequency,Time Since Last Transaction,Transaction Velocity,Historical Transaction Patterns,Device ID,Browser and OS,IP Address,Channel,Billing Address vs. Shipping Address,Distance from Last Transaction,Country,Region,Blacklisted Merchants or IPs,Real-time Threat Intelligence,Social Media or Public Data,Keystroke Dynamics,Mouse Movement,Touchscreen Gestures,Anomaly Scores,Categorical Aggregates,Temporal Aggregates,User Age,Account Tenure,Credit Score,Fraudulent
212.93,2024-03-04 01:52,In-store,Dining,Capewtown,181.3,17,21,Low,Infrequent,DEV3528,"Edge, Win11",61.245.230.117,Mobile,No,44.1,South Africa,Western cape ,Yes,Low,Yes,High,Low,Moderate,0.3,Low,Low,43,8,718,0
144.78,2024-03-05 18:19,Online,Groceries,Durban,32.47,3,17,Low,Frequent,DEV7868,"Chrome, Win10",122.15.173.191,Web,No,13.8,South Africa,Kwazulu Natal,Yes,Medium,Yes,High,Low,High,0.93,Low,Medium,44,7,747,1
101.12,2024-02-13 19:46,In-store,Clothing,Port Elizabeth,242.02,8,9,Low,Frequent,DEV6646,"Firefox, Win11",134.135.238.216,Web,Yes,24.6,South Africa,gauteng,Yes,Medium,No,High,Moderate,Low,0.8,Low,Low,56,1,606,1
298.39,2024-02-19 06:03,Online,Dining,Port Elizabeth,223.02,21,26,High,Infrequent,DEV1053,"Safari, iOS",128.203.114.180,Web,Yes,40.1,South Africa,Western cape ,No,Medium,No,Low,Moderate,High,0.68,Medium,Medium,60,2,694,1
47.8,2024-07-04 14:19,Online,Travel,Pretoria,292.0,15,23,High,Frequent,DEV3713,"Chrome, Win10",102.181.203.25,Web,Yes,1.3,South Africa,Western cape ,No,Low,Yes,Low,Moderate,Moderate,0.31,High,Low,28,2,664,1
32.18,2024-05-19 12:22,In-store,Groceries,Capewtown,24.37,11,5,High,Infrequent,DEV1706,"Firefox, Win11",12.116.141.202,Web,No,38.7,South Africa,gauteng,No,Low,Yes,High,High,Moderate,0.77,Low,High,65,1,764,1
210.74,2024-02-09 21:33,In-store,Dining,Port Elizabeth,276.89,20,6,High,Infrequent,DEV2153,"Firefox, Win11",41.167.222.51,Web,Yes,21.6,South Africa,Kwazulu Natal,No,Low,Yes,High,High,High,0.49,Low,Medium,70,6,693,1
230.34,2024-01-23 03:20,In-store,Dining,Durban,251.2,18,2,Low,Infrequent,DEV4775,"Safari, iOS",106.130.86.205,Mobile,Yes,27.0,South Africa,Kwazulu Natal,Yes,Medium,No,High,Low,Moderate,0.89,High,High,69,5,714,1
208.91,2024-06-05 08:08,In-store,Travel,Port Elizabeth,206.72,2,30,Low,Frequent,DEV7750,"Chrome, Win10",118.255.93.109,Mobile,Yes,22.4,South Africa,Kwazulu Natal,No,Low,No,High,Moderate,High,0.99,Medium,Low,58,1,742,1
296.72,2024-01-04 23:47,In-store,Electronics,Capewtown,102.62,11,11,High,Frequent,DEV7468,"Edge, Win11",64.82.206.191,Web,No,7.6,South Africa,Western cape ,No,Medium,No,High,Moderate,High,0.46,High,Medium,67,1,621,0
250.8,2024-03-09 03:30,Online,Travel,Durban,164.91,8,5,High,Frequent,DEV3321,"Chrome, Win10",64.140.150.171,Web,No,7.9,South Africa,Eastern cape,No,Low,Yes,High,Moderate,Moderate,0.05,High,Medium,20,10,611,1
179.47,2024-02-14 12:50,In-store,Groceries,Joburg,179.95,11,26,Low,Infrequent,DEV6648,"Safari, iOS",175.128.179.72,Web,No,41.1,South Africa,Eastern cape,Yes,Medium,No,Low,Low,High,0.69,Low,Medium,56,4,670,0
162.28,2024-04-22 17:02,In-store,Electronics,Durban,137.31,23,11,Medium,Frequent,DEV9998,"Chrome, Win10",68.246.170.107,Web,Yes,41.4,South Africa,gauteng,Yes,High,Yes,Moderate,High,Moderate,0.5,Low,Low,20,9,718,1
100.18,2024-06-19 13:48,Online,Travel,Durban,35.66,12,20,High,Infrequent,DEV3027,"Firefox, Win11",49.163.52.237,Mobile,No,4.4,South Africa,Kwazulu Natal,Yes,High,No,Moderate,Moderate,High,0.42,Low,High,57,7,765,1
191.78,2024-01-26 06:47,In-store,Dining,Joburg,59.93,19,12,Medium,Infrequent,DEV7596,"Chrome, Win10",204.122.164.170,Web,Yes,5.4,South Africa,Kwazulu Natal,Yes,High,Yes,Low,High,Low,0.56,Medium,High,52,5,672,1
186.22,2024-02-13 20:19,In-store,Travel,Port Elizabeth,150.75,5,17,Medium,Frequent,DEV8679,"Safari, iOS",5.249.14.21,Web,Yes,17.4,South Africa,Western cape ,No,Low,No,Moderate,Low,Low,0.52,Low,Low,35,2,764,1
90.53,2024-05-08 22:04,In-store,Dining,Durban,99.17,22,27,High,Infrequent,DEV6528,"Edge, Win11",110.35.31.84,Mobile,Yes,27.8,South Africa,Kwazulu Natal,Yes,Low,Yes,High,Low,High,0.26,Low,Medium,23,9,658,0
190.59,2024-01-25 10:28,Online,Travel,Durban,225.88,15,12,Low,Frequent,DEV4729,"Safari, iOS",28.90.95.246,Mobile,Yes,40.4,South Africa,Western cape ,Yes,Medium,No,Low,Low,High,0.72,High,High,29,6,609,1
259.74,2024-05-25 15:50,Online,Travel,Pretoria,65.98,9,27,Medium,Infrequent,DEV7212,"Safari, iOS",172.248.233.206,Mobile,Yes,19.9,South Africa,Western cape ,No,Low,Yes,Moderate,Low,Low,0.58,High,High,50,2,718,0
144.91,2024-03-27 06:18,Online,Groceries,Pretoria,75.25,2,30,Medium,Frequent,DEV4336,"Safari, iOS",178.54.35.34,Mobile,Yes,43.9,South Africa,gauteng,Yes,Medium,Yes,High,Low,Moderate,0.49,Low,Medium,19,5,786,1
177.84,2024-07-19 17:14,Online,Dining,Port Elizabeth,223.57,6,13,Low,Frequent,DEV3613,"Firefox, Win11",43.79.234.204,Mobile,No,26.1,South Africa,Western cape ,Yes,Medium,Yes,High,Low,High,0.71,High,Medium,49,2,727,1
68.48,2024-05-03 22:54,In-store,Travel,Joburg,220.74,3,2,Low,Frequent,DEV9600,"Edge, Win11",35.246.129.129,Mobile,No,32.0,South Africa,Eastern cape,No,Medium,Yes,Low,High,Low,0.48,Low,Low,64,7,718,0
143.33,2024-03-27 18:31,In-store,Groceries,Durban,31.46,29,19,High,Infrequent,DEV8495,"Safari, iOS",219.248.62.235,Mobile,Yes,23.2,South Africa,Kwazulu Natal,Yes,Low,No,High,Moderate,Moderate,0.76,Low,Low,25,2,673,0
201.67,2024-07-31 00:24,Online,Clothing,Port Elizabeth,138.48,1,20,High,Frequent,DEV8551,"Edge, Win11",144.223.32.197,Web,Yes,13.8,South Africa,gauteng,Yes,High,Yes,High,High,Moderate,0.01,High,High,48,6,608,0
195.24,2024-05-31 19:54,Online,Dining,Port Elizabeth,149.91,8,28,High,Frequent,DEV6356,"Chrome, Win10",154.52.93.62,Web,Yes,5.8,South Africa,Kwazulu Natal,Yes,Low,No,Low,Moderate,High,0.39,Medium,Low,42,3,718,1
184.56,2024-07-20 01:14,Online,Dining,Port Elizabeth,289.08,5,25,High,Frequent,DEV6820,"Safari, iOS",72.131.243.139,Web,No,12.3,South Africa,gauteng,Yes,Low,No,High,High,High,0.62,High,Medium,36,8,629,1
48.13,2024-06-18 17:32,Online,Travel,Joburg,234.69,6,29,Low,Infrequent,DEV3096,"Edge, Win11",72.246.177.104,Mobile,Yes,45.4,South Africa,Western cape ,No,Medium,No,Moderate,Moderate,Moderate,0.39,Low,High,49,9,612,1
219.69,2024-06-02 08:46,Online,Electronics,Capewtown,107.56,13,5,Low,Frequent,DEV3925,"Edge, Win11",86.150.226.213,Web,Yes,18.4,South Africa,gauteng,No,Low,No,Low,Low,Moderate,0.79,High,Low,65,7,783,0
169.13,2024-02-05 18:29,In-store,Groceries,Port Elizabeth,276.98,16,3,Low,Frequent,DEV8516,"Chrome, Win10",146.12.205.82,Mobile,No,19.0,South Africa,Eastern cape,No,High,Yes,High,Moderate,High,0.35,Low,High,44,10,694,1
287.71,2024-06-17 21:34,Online,Electronics,Joburg,149.41,21,25,Low,Infrequent,DEV7468,"Safari, iOS",97.176.174.147,Mobile,Yes,39.3,South Africa,gauteng,Yes,Low,No,Low,Low,Moderate,0.23,High,Low,53,4,799,0
147.44,2024-07-28 20:11,In-store,Electronics,Joburg,74.82,20,7,Low,Frequent,DEV8240,"Edge, Win11",164.79.136.65,Web,No,43.4,South Africa,Kwazulu Natal,No,High,Yes,Low,High,Moderate,0.08,Medium,Low,19,2,648,1
196.36,2024-07-26 22:10,Online,Travel,Durban,44.12,22,29,High,Frequent,DEV1441,"Edge, Win11",26.86.239.234,Mobile,No,29.8,South Africa,Eastern cape,Yes,Low,Yes,High,High,Low,0.97,Low,High,41,4,721,0
248.59,2024-02-11 18:17,Online,Dining,Capewtown,248.26,2,13,Medium,Infrequent,DEV2058,"Chrome, Win10",213.39.240.129,Web,No,35.5,South Africa,Kwazulu Natal,Yes,High,No,High,Moderate,Low,0.08,Medium,Low,69,7,634,0
227.19,2024-04-02 12:26,Online,Travel,Capewtown,196.26,17,10,High,Infrequent,DEV9173,"Edge, Win11",147.171.25.50,Web,Yes,42.8,South Africa,Eastern cape,Yes,Medium,Yes,High,Low,High,0.63,Medium,Medium,23,7,764,0
78.19,2024-02-12 23:25,In-store,Travel,Durban,44.91,29,9,Medium,Infrequent,DEV6430,"Safari, iOS",177.169.179.123,Web,No,49.8,South Africa,Kwazulu Natal,No,Medium,No,High,Moderate,Low,0.24,Low,Medium,46,5,642,1
33.22,2024-04-17 00:52,In-store,Clothing,Durban,176.81,11,22,Medium,Frequent,DEV7262,"Edge, Win11",219.79.181.143,Web,Yes,4.0,South Africa,gauteng,Yes,Medium,Yes,Moderate,Moderate,Moderate,0.17,Low,Low,30,5,636,1
263.86,2024-05-26 23:09,In-store,Travel,Durban,82.0,18,30,Medium,Infrequent,DEV4156,"Firefox, Win11",93.194.193.159,Mobile,Yes,43.7,South Africa,Kwazulu Natal,Yes,High,Yes,Low,Low,High,0.98,High,Low,55,9,764,1
87.71,2024-06-08 17:34,In-store,Clothing,Capewtown,185.03,18,7,Low,Frequent,DEV9792,"Edge, Win11",137.99.98.73,Mobile,Yes,38.3,South Africa,Kwazulu Natal,Yes,High,Yes,Moderate,High,Low,0.48,Low,High,65,3,664,1
138.54,2024-03-14 23:21,In-store,Dining,Joburg,246.17,4,21,Low,Frequent,DEV2523,"Chrome, Win10",130.225.205.211,Web,No,1.1,South Africa,Kwazulu Natal,No,Low,No,Moderate,High,Moderate,0.59,High,Medium,38,3,737,0
152.43,2024-01-15 03:53,In-store,Clothing,Joburg,244.67,6,14,High,Frequent,DEV9692,"Safari, iOS",9.151.45.14,Mobile,No,10.9,South Africa,gauteng,No,Medium,Yes,High,Low,Moderate,0.67,Low,Low,52,7,714,1
289.37,2024-07-23 10:36,Online,Travel,Durban,160.51,20,4,High,Frequent,DEV5728,"Safari, iOS",8.20.189.73,Mobile,Yes,39.4,South Africa,Kwazulu Natal,No,Low,No,Low,High,Low,0.77,Medium,Medium,23,7,740,1
151.06,2024-04-01 21:32,In-store,Clothing,Pretoria,79.73,24,28,Medium,Frequent,DEV2034,"Safari, iOS",91.146.204.1,Mobile,Yes,33.6,South Africa,Kwazulu Natal,Yes,Low,Yes,Low,Low,Moderate,0.94,Medium,Medium,53,1,680,1
56.98,2024-02-08 00:44,Online,Travel,Port Elizabeth,122.17,9,17,Low,Infrequent,DEV4976,"Edge, Win11",126.133.39.33,Web,No,23.4,South Africa,Eastern cape,Yes,High,No,Low,High,Moderate,0.14,High,Medium,27,8,693,0
55.33,2024-02-14 13:16,In-store,Clothing,Durban,217.79,4,21,Low,Infrequent,DEV7306,"Chrome, Win10",140.121.19.21,Mobile,No,33.5,South Africa,gauteng,Yes,Medium,No,Moderate,High,Moderate,0.7,High,Medium,30,5,634,1
145.19,2024-05-27 12:42,Online,Electronics,Joburg,150.99,1,11,Medium,Infrequent,DEV6518,"Firefox, Win11",46.174.65.247,Web,Yes,6.4,South Africa,Kwazulu Natal,No,Medium,No,High,Moderate,Moderate,0.35,Low,High,25,2,638,1
53.74,2024-01-01 09:53,Online,Clothing,Joburg,121.91,28,17,Low,Frequent,DEV5718,"Firefox, Win11",73.236.130.78,Web,Yes,19.6,South Africa,Eastern cape,No,Medium,No,Moderate,High,Low,0.8,Low,High,43,2,776,0
154.0,2024-04-18 18:47,Online,Electronics,Durban,154.32,16,6,High,Frequent,DEV7518,"Safari, iOS",132.50.70.6,Mobile,Yes,11.8,South Africa,Eastern cape,Yes,High,Yes,Low,Moderate,Moderate,0.59,Low,Medium,25,10,786,1
281.33,2024-04-07 15:59,In-store,Dining,Joburg,275.94,8,29,Low,Infrequent,DEV6680,"Edge, Win11",179.196.91.191,Web,No,43.2,South Africa,Eastern cape,No,Medium,Yes,Low,Moderate,High,0.58,Low,Low,35,3,692,1
47.15,2024-07-17 06:21,In-store,Travel,Joburg,115.06,3,20,High,Infrequent,DEV1558,"Chrome, Win10",96.172.34.141,Web,Yes,42.0,South Africa,gauteng,Yes,Low,No,High,High,Moderate,0.25,Low,Low,48,7,681,1
229.64,2024-01-19 18:14,Online,Electronics,Durban,61.4,12,7,Low,Frequent,DEV8873,"Safari, iOS",79.125.226.30,Mobile,No,22.2,South Africa,Western cape ,No,Low,No,Moderate,High,Low,0.98,High,High,67,2,654,0
106.93,2024-06-24 02:27,Online,Travel,Capewtown,187.67,10,29,Low,Infrequent,DEV4866,"Chrome, Win10",29.107.68.111,Mobile,Yes,47.3,South Africa,Kwazulu Natal,Yes,Low,Yes,Moderate,High,High,0.52,High,Medium,56,5,729,0
287.74,2024-01-03 15:19,Online,Groceries,Durban,272.26,28,13,Low,Infrequent,DEV6741,"Edge, Win11",137.64.41.13,Mobile,Yes,13.5,South Africa,Western cape ,No,Medium,No,High,Low,Low,0.89,High,Low,41,7,701,1
94.28,2024-04-03 13:46,In-store,Travel,Port Elizabeth,66.09,2,3,Medium,Infrequent,DEV8876,"Chrome, Win10",95.231.83.151,Web,No,35.7,South Africa,gauteng,No,High,No,Low,High,Moderate,0.84,High,High,38,6,734,0
49.55,2024-03-15 09:03,Online,Electronics,Capewtown,279.95,30,5,Low,Frequent,DEV1355,"Safari, iOS",159.66.40.45,Web,No,1.7,South Africa,gauteng,No,Medium,Yes,Low,Moderate,High,0.57,High,Medium,29,6,663,1
110.76,2024-05-26 21:22,Online,Clothing,Durban,180.91,11,27,Medium,Frequent,DEV4886,"Firefox, Win11",169.107.45.208,Web,Yes,13.0,South Africa,Eastern cape,No,Low,No,Low,High,Low,0.86,Low,Low,30,5,664,1
224.13,2024-07-06 15:34,Online,Clothing,Joburg,214.79,20,14,Medium,Infrequent,DEV9808,"Firefox, Win11",59.46.93.143,Mobile,Yes,13.9,South Africa,Western cape ,Yes,Medium,Yes,Moderate,Low,High,0.82,Medium,High,19,9,755,0
74.25,2024-07-18 18:16,Online,Dining,Capewtown,52.46,29,8,High,Frequent,DEV1151,"Edge, Win11",92.28.20.32,Mobile,Yes,18.2,South Africa,Western cape ,Yes,High,Yes,High,Low,Low,0.96,High,Medium,40,7,631,1
54.61,2024-05-12 07:28,Online,Travel,Port Elizabeth,176.25,3,19,High,Frequent,DEV8219,"Chrome, Win10",98.220.20.122,Web,Yes,28.1,South Africa,Kwazulu Natal,Yes,High,Yes,Low,High,Low,0.33,High,Medium,70,3,684,0
107.88,2024-04-27 08:18,In-store,Electronics,Joburg,276.02,23,1,Low,Frequent,DEV6552,"Chrome, Win10",144.229.80.103,Web,No,46.3,South Africa,Kwazulu Natal,Yes,Medium,Yes,High,High,Low,0.48,Low,High,56,5,639,0
20.15,2024-01-10 00:38,Online,Clothing,Capewtown,230.07,2,24,Medium,Infrequent,DEV8899,"Chrome, Win10",179.196.45.245,Mobile,No,10.0,South Africa,Kwazulu Natal,No,Low,Yes,Low,High,High,0.46,Low,High,48,8,667,0
56.38,2024-04-21 02:34,In-store,Clothing,Capewtown,201.01,1,1,Low,Frequent,DEV8284,"Safari, iOS",208.102.142.174,Mobile,Yes,10.0,South Africa,Kwazulu Natal,Yes,Medium,No,Moderate,High,Low,0.29,Medium,Low,53,4,705,1
100.38,2024-06-17 22:11,Online,Electronics,Pretoria,191.06,6,9,Low,Frequent,DEV2010,"Chrome, Win10",8.216.24.164,Web,No,2.3,South Africa,Western cape ,Yes,Medium,No,Low,High,Low,0.6,Medium,Low,57,6,698,0
192.92,2024-04-08 12:42,In-store,Electronics,Joburg,141.91,11,6,Medium,Infrequent,DEV5648,"Edge, Win11",13.102.117.112,Web,No,24.4,South Africa,Western cape ,Yes,High,No,High,High,High,0.56,Low,Medium,67,1,799,1
115.56,2024-06-01 12:43,Online,Groceries,Durban,54.25,27,9,Medium,Infrequent,DEV4468,"Chrome, Win10",223.74.7.147,Mobile,No,33.5,South Africa,Western cape ,No,Medium,No,Moderate,Moderate,Low,0.2,Medium,Medium,57,2,685,0
216.47,2024-02-08 03:40,Online,Travel,Port Elizabeth,252.17,20,20,Low,Frequent,DEV3333,"Safari, iOS",160.108.188.247,Web,Yes,0.1,South Africa,Kwazulu Natal,Yes,Low,No,High,Low,Moderate,0.14,High,Medium,40,6,693,1
86.47,2024-04-23 15:34,In-store,Travel,Durban,41.32,20,16,High,Infrequent,DEV2647,"Safari, iOS",98.187.99.144,Mobile,No,6.9,South Africa,Kwazulu Natal,Yes,Low,No,High,High,Low,0.41,Medium,Medium,36,5,757,1
286.71,2024-04-25 09:09,Online,Groceries,Port Elizabeth,93.1,28,24,High,Infrequent,DEV2001,"Edge, Win11",148.74.141.92,Web,Yes,30.7,South Africa,Western cape ,Yes,Low,No,High,Moderate,High,0.55,Low,High,25,10,665,1
74.4,2024-08-01 08:37,Online,Dining,Port Elizabeth,110.32,9,12,High,Frequent,DEV8271,"Chrome, Win10",79.197.37.45,Mobile,Yes,48.6,South Africa,Western cape ,Yes,Low,Yes,Moderate,High,Low,0.57,Low,Low,21,3,680,0
197.68,2024-01-31 19:22,In-store,Clothing,Pretoria,147.26,29,26,High,Infrequent,DEV9733,"Chrome, Win10",155.224.200.240,Mobile,Yes,12.1,South Africa,Eastern cape,No,High,Yes,High,High,Low,0.21,High,Medium,65,6,753,1
265.04,2024-06-04 10:40,Online,Groceries,Capewtown,184.66,24,21,Low,Infrequent,DEV5473,"Safari, iOS",46.76.195.188,Mobile,Yes,42.2,South Africa,Eastern cape,No,High,Yes,High,Moderate,High,0.61,Medium,Low,37,4,628,1
243.43,2024-04-20 10:42,Online,Dining,Joburg,88.24,3,24,Low,Infrequent,DEV7634,"Firefox, Win11",112.242.134.49,Mobile,Yes,19.5,South Africa,gauteng,Yes,High,Yes,High,Moderate,High,0.0,Medium,Medium,53,3,733,0
141.93,2024-02-28 18:49,In-store,Travel,Port Elizabeth,38.78,14,12,High,Infrequent,DEV5371,"Firefox, Win11",60.32.134.51,Mobile,No,46.8,South Africa,Western cape ,Yes,Low,No,High,Moderate,Low,0.76,Medium,Medium,20,7,752,0
202.22,2024-01-05 06:58,Online,Clothing,Port Elizabeth,27.55,22,27,High,Infrequent,DEV3866,"Safari, iOS",108.192.236.179,Web,No,5.8,South Africa,gauteng,Yes,Low,Yes,Low,Moderate,High,0.59,Low,Low,58,8,729,1
222.02,2024-01-02 04:06,In-store,Groceries,Durban,239.13,9,6,Medium,Infrequent,DEV1928,"Edge, Win11",221.206.57.39,Web,No,44.4,South Africa,Kwazulu Natal,Yes,Medium,No,Moderate,Low,Low,0.11,Medium,High,21,6,615,1
157.16,2024-06-29 04:58,Online,Electronics,Port Elizabeth,72.9,10,2,High,Frequent,DEV9314,"Firefox, Win11",45.228.111.47,Web,Yes,24.8,South Africa,Eastern cape,Yes,High,Yes,High,Low,High,0.11,Low,High,58,5,619,1
202.04,2024-01-03 03:37,Online,Clothing,Joburg,41.67,30,8,High,Infrequent,DEV8366,"Chrome, Win10",157.193.181.52,Mobile,No,46.9,South Africa,Kwazulu Natal,No,High,No,Low,Moderate,High,0.04,Medium,Medium,33,10,608,0
155.15,2024-07-27 19:33,In-store,Groceries,Joburg,294.84,20,30,Medium,Frequent,DEV3593,"Safari, iOS",200.27.57.238,Web,No,47.2,South Africa,Western cape ,Yes,High,No,High,High,High,0.86,High,Low,67,4,703,0
226.57,2024-04-17 06:12,Online,Groceries,Joburg,87.12,14,30,High,Infrequent,DEV9860,"Safari, iOS",159.19.217.141,Mobile,Yes,14.0,South Africa,Western cape ,Yes,Medium,Yes,High,High,Low,0.31,Low,Medium,39,10,706,1
64.89,2024-06-04 11:19,In-store,Travel,Port Elizabeth,260.91,27,13,High,Frequent,DEV2175,"Firefox, Win11",171.74.178.84,Web,No,16.5,South Africa,Kwazulu Natal,No,Medium,Yes,Low,High,Moderate,0.95,Low,Medium,39,10,776,0
174.85,2024-02-06 14:41,Online,Groceries,Pretoria,150.89,23,11,High,Frequent,DEV1495,"Edge, Win11",50.205.165.98,Mobile,No,32.4,South Africa,Western cape ,No,Medium,Yes,Moderate,Moderate,High,0.81,High,Low,47,9,623,0
164.67,2024-06-07 11:33,Online,Dining,Durban,106.71,30,9,High,Infrequent,DEV5063,"Chrome, Win10",93.154.214.73,Web,No,24.2,South Africa,Western cape ,No,Medium,No,Moderate,Low,Moderate,0.33,High,High,46,5,699,1
64.8,2024-06-15 03:38,Online,Electronics,Durban,237.33,19,18,Medium,Infrequent,DEV2615,"Chrome, Win10",169.171.195.234,Mobile,No,39.6,South Africa,Eastern cape,No,High,Yes,Low,Moderate,Low,0.34,Low,High,22,2,771,0
111.19,2024-03-13 05:04,Online,Travel,Pretoria,123.4,16,20,Medium,Infrequent,DEV6165,"Edge, Win11",181.24.86.74,Mobile,Yes,26.0,South Africa,gauteng,No,Medium,No,Low,Low,High,0.91,High,Low,43,9,738,1
67.0,2024-07-11 21:26,In-store,Electronics,Durban,248.56,12,1,Low,Frequent,DEV8982,"Safari, iOS",175.17.7.1,Web,No,5.4,South Africa,Eastern cape,Yes,High,No,Low,Low,Low,0.81,Medium,Low,18,3,763,0
256.09,2024-05-25 19:47,Online,Groceries,Joburg,249.63,21,5,High,Frequent,DEV5675,"Safari, iOS",203.117.112.87,Mobile,No,40.1,South Africa,Eastern cape,Yes,Medium,Yes,Moderate,High,High,0.87,High,High,59,4,718,1
145.7,2024-03-18 15:48,In-store,Clothing,Capewtown,41.3,21,25,Low,Infrequent,DEV1226,"Safari, iOS",38.192.68.179,Mobile,No,9.8,South Africa,gauteng,Yes,High,No,Moderate,High,Moderate,0.28,Medium,High,59,5,693,1
73.79,2024-02-24 19:46,In-store,Clothing,Joburg,199.72,6,17,Medium,Frequent,DEV8684,"Chrome, Win10",170.128.123.202,Mobile,No,49.9,South Africa,Western cape ,No,Low,Yes,Moderate,Low,Low,0.42,High,High,47,1,662,0
55.49,2024-04-26 03:30,In-store,Clothing,Pretoria,220.67,24,20,Low,Frequent,DEV9780,"Safari, iOS",82.125.156.71,Web,No,3.8,South Africa,gauteng,Yes,Low,Yes,Low,High,Low,0.06,High,High,46,6,642,0
210.26,2024-04-19 21:04,In-store,Clothing,Pretoria,249.19,18,25,High,Frequent,DEV9585,"Chrome, Win10",12.172.97.174,Web,No,29.5,South Africa,gauteng,Yes,Low,Yes,High,Low,Moderate,0.67,Low,Low,20,3,619,1
236.03,2024-05-11 23:38,Online,Clothing,Durban,48.3,6,16,Low,Infrequent,DEV9281,"Edge, Win11",206.79.115.206,Mobile,No,3.7,South Africa,Kwazulu Natal,Yes,High,No,Low,Moderate,High,0.9,Medium,Medium,62,9,657,1
163.14,2024-05-08 12:06,In-store,Groceries,Port Elizabeth,152.09,23,23,Low,Frequent,DEV7287,"Chrome, Win10",52.209.74.130,Mobile,No,6.6,South Africa,gauteng,No,High,Yes,Low,Moderate,Moderate,0.96,High,Low,54,3,722,1
144.69,2024-07-26 13:03,In-store,Clothing,Joburg,234.42,15,25,Low,Infrequent,DEV3436,"Safari, iOS",106.237.38.77,Mobile,Yes,44.8,South Africa,Western cape ,Yes,High,Yes,Low,Low,Moderate,0.18,Medium,Medium,29,1,727,1
66.75,2024-04-16 16:26,In-store,Electronics,Capewtown,176.4,8,17,Medium,Frequent,DEV5934,"Edge, Win11",43.226.6.238,Web,No,25.6,South Africa,Eastern cape,No,Low,No,High,Moderate,Low,0.91,Medium,Low,36,9,659,0
198.81,2024-02-12 14:46,Online,Travel,Joburg,30.47,17,29,Medium,Infrequent,DEV1631,"Edge, Win11",128.95.13.2,Web,No,22.4,South Africa,Kwazulu Natal,Yes,Medium,Yes,Low,Low,High,0.38,Low,Low,54,1,646,0
